61--62,00-0000,13891500,14936600
61--62,11-0000,704800,772800
61--62,11-1000,81900,88700
61--62,11-1011,18500,17200
61--62,11-1021,63400,71500
61--62,11-2000,21800,24300
61--62,11-2011,500,600
61--62,11-2020,6300,6900
61--62,11-2021,5100,5700
61--62,11-2022,1200,1300
61--62,11-2031,15000,16800
61--62,11-3000,102500,115600
61--62,11-3011,36700,40400
61--62,11-3021,22700,25000
61--62,11-3031,25100,30500
61--62,11-3051,300,400
61--62,11-3061,1600,1800
61--62,11-3071,1600,1700
61--62,11-3111,900,900
61--62,11-3121,9700,10600
61--62,11-3131,3900,4200
61--62,11-9000,498600,544100
61--62,11-9013,300,300
61--62,11-9021,2300,2500
61--62,11-9030,445800,486100
61--62,11-9031,7700,8500
61--62,11-9032,241700,260600
61--62,11-9033,173300,190800
61--62,11-9039,23100,26100
61--62,11-9041,900,1000
61--62,11-9051,7000,7300
61--62,11-9081,200,200
61--62,11-9111,9300,10200
61--62,11-9121,2000,2200
61--62,11-9141,1000,1100
61--62,11-9151,3700,4200
61--62,11-9161,700,700
61--62,11-9199,25400,28200
61--62,13-0000,349100,380600
61--62,13-1000,255300,278100
61--62,13-1020,9200,9000
61--62,13-1021,100,100
61--62,13-1022,600,600
61--62,13-1023,8600,8400
61--62,13-1030,200,200
61--62,13-1031,200,200
61--62,13-1041,8400,9400
61--62,13-1051,300,400
61--62,13-1070,32000,34000
61--62,13-1071,30800,32600
61--62,13-1075,1300,1300
61--62,13-1081,700,700
61--62,13-1111,17400,18900
61--62,13-1121,10800,11900
61--62,13-1131,20900,23700
61--62,13-1141,5700,5900
61--62,13-1151,29500,30400
61--62,13-1161,15300,18900
61--62,13-1199,104800,114800
61--62,13-2000,93800,102400
61--62,13-2011,51200,56100
61--62,13-2031,8800,9600
61--62,13-2041,300,300
61--62,13-2050,5800,6400
61--62,13-2051,5600,6200
61--62,13-2052,200,200
61--62,13-2061,100,100
61--62,13-2070,16400,17800
