22--23,00-0000,556200,559600
22--23,11-0000,39200,41200
22--23,11-1000,13800,14700
22--23,11-1011,1200,1100
22--23,11-1021,12700,13600
22--23,11-2000,2600,2700
22--23,11-2020,1800,1900
22--23,11-2021,1100,1100
22--23,11-2022,700,800
22--23,11-2031,800,800
22--23,11-3000,12700,13300
22--23,11-3011,2500,2600
22--23,11-3021,1900,1900
22--23,11-3031,2800,3300
22--23,11-3051,2600,2700
22--23,11-3061,400,400
22--23,11-3071,900,900
22--23,11-3111,200,200
22--23,11-3121,800,800
22--23,11-3131,500,500
22--23,11-9000,10100,10500
22--23,11-9021,1700,1900
22--23,11-9041,4200,4300
22--23,11-9121,100,200
22--23,11-9141,200,200
22--23,11-9161,300,300
22--23,11-9199,3500,3600
22--23,13-0000,45100,45400
22--23,13-1000,33900,34100
22--23,13-1020,3000,2800
22--23,13-1022,300,300
22--23,13-1023,2600,2500
22--23,13-1030,200,200
22--23,13-1031,200,200
22--23,13-1041,3200,3300
22--23,13-1051,1300,1300
22--23,13-1070,2600,2600
22--23,13-1071,2400,2300
22--23,13-1075,300,300
22--23,13-1081,1900,1800
22--23,13-1111,7000,6900
22--23,13-1141,600,600
22--23,13-1151,3300,3300
22--23,13-1161,2300,2700
22--23,13-1199,8500,8600
22--23,13-2000,11100,11300
22--23,13-2011,7500,7800
22--23,13-2021,100,100
22--23,13-2031,500,500
22--23,13-2041,200,200
22--23,13-2050,2200,2200
22--23,13-2051,2200,2200
22--23,13-2099,600,600
22--23,15-0000,21200,21000
22--23,15-1100,20200,19800
22--23,15-1111,100,100
22--23,15-1120,5900,5600
22--23,15-1121,4700,4500
22--23,15-1122,1100,1100
22--23,15-1130,4100,4100
22--23,15-1131,1300,1000
22--23,15-1132,2000,2200
22--23,15-1133,700,700
22--23,15-1134,100,100
22--23,15-1140,5000,4800
22--23,15-1141,800,800
22--23,15-1142,3300,3100
22--23,15-1143,1000,900
22--23,15-1150,3700,3700
22--23,15-1151,2600,2600
22--23,15-1152,1100,1100
22--23,15-1199,1500,1500
22--23,15-2000,1000,1200
22--23,15-2031,900,1100
22--23,17-0000,52500,53300
22--23,17-1000,900,900
22--23,17-1011,100,100
22--23,17-1022,500,500
22--23,17-2000,37800,38600
22--23,17-2041,300,300
22--23,17-2051,2200,2200
22--23,17-2061,100,100
22--23,17-2070,20300,21100
22--23,17-2071,19900,20700
22--23,17-2072,400,400
22--23,17-2081,900,900
22--23,17-2110,2200,2200
22--23,17-2111,500,500
22--23,17-2112,1700,1700
22--23,17-2131,200,200
22--23,17-2141,1800,1900
22--23,17-2161,7200,7000
22--23,17-2171,600,600
22--23,17-2199,1800,1900
22--23,17-3000,13700,13800
22--23,17-3010,2500,2500
22--23,17-3011,400,400
22--23,17-3012,1700,1700
22--23,17-3013,200,200
22--23,17-3019,200,200
22--23,17-3020,8800,8800
22--23,17-3022,500,500
22--23,17-3023,5400,5500
22--23,17-3024,300,300
22--23,17-3025,200,200
22--23,17-3026,400,400
22--23,17-3027,200,200
22--23,17-3029,1800,1700
22--23,17-3031,2400,2500
22--23,19-0000,9200,9200
22--23,19-1000,400,500
22--23,19-1030,300,400
22--23,19-1031,100,100
22--23,19-1032,300,300
22--23,19-2000,2600,2600
22--23,19-2010,100,100
22--23,19-2012,100,100
22--23,19-2030,700,700
22--23,19-2031,700,700
22--23,19-2040,1700,1700
22--23,19-2041,1400,1400
22--23,19-2042,200,200
22--23,19-2043,100,100
22--23,19-2099,100,100
22--23,19-3000,200,200
22--23,19-3011,100,100
22--23,19-3051,100,100
22--23,19-4000,6000,5900
22--23,19-4031,900,900
22--23,19-4041,100,100
22--23,19-4051,4200,4100
22--23,19-4090,800,800
22--23,19-4091,600,600
22--23,19-4099,200,200
22--23,23-0000,1600,2000
22--23,23-1000,1300,1600
22--23,23-1010,1300,1600
22--23,23-1011,1300,1600
22--23,23-2000,300,400
22--23,23-2011,300,300
22--23,23-2090,100,100
22--23,23-2093,100,100
22--23,25-0000,200,200
22--23,25-9000,100,100
22--23,25-9021,100,100
22--23,27-0000,2300,2400
22--23,27-1000,200,200
22--23,27-1020,200,200
22--23,27-1024,100,100
22--23,27-1029,100,100
22--23,27-3000,2100,2100
22--23,27-3031,1800,1900
22--23,27-3040,200,200
22--23,27-3042,200,200
22--23,29-0000,2500,2600
22--23,29-1000,100,100
22--23,29-1141,100,0
22--23,29-9000,2400,2600
22--23,29-9010,2400,2500
22--23,29-9011,2100,2100
22--23,29-9012,300,400
22--23,33-0000,5700,5300
22--23,33-1000,600,600
22--23,33-1099,600,600
22--23,33-2000,100,100
22--23,33-2011,100,100
22--23,33-9000,5000,4600
22--23,33-9021,100,100
22--23,33-9030,4800,4400
22--23,33-9032,4800,4400
22--23,33-9090,100,100
22--23,37-0000,2800,2900
22--23,37-1000,200,200
22--23,37-1012,200,200
22--23,37-2011,1000,1100
22--23,37-3000,1600,1700
22--23,37-3011,300,400
22--23,37-3013,1200,1200
22--23,41-0000,9700,9900
22--23,41-1000,400,400
22--23,41-1012,300,300
22--23,41-2000,1400,1300
22--23,41-2010,1300,1200
22--23,41-2011,1300,1200
22--23,41-2031,100,100
22--23,41-3000,3900,4000
22--23,41-3031,300,300
22--23,41-3099,3500,3600
22--23,41-4000,2600,2800
22--23,41-4011,500,500
22--23,41-4012,2200,2300
22--23,41-9000,1400,1500
22--23,41-9020,1000,1100
22--23,41-9022,1000,1000
22--23,41-9031,200,200
22--23,41-9090,100,200
22--23,41-9099,100,200
22--23,43-0000,98000,92600
22--23,43-1000,8500,8700
22--23,43-1011,8500,8700
22--23,43-3000,11000,10800
22--23,43-3011,2200,2000
22--23,43-3021,2700,2800
