51--52,00-0000,2772300,2824800
51--52,11-0000,199300,216700
51--52,11-1000,65600,67700
51--52,11-1011,7100,6400
51--52,11-1021,58500,61200
51--52,11-2000,44900,48800
51--52,11-2011,3700,3600
51--52,11-2020,38900,42800
51--52,11-2021,17400,19700
51--52,11-2022,21500,23100
51--52,11-2031,2300,2400
51--52,11-3000,70200,80800
51--52,11-3011,6800,7100
51--52,11-3021,40400,47300
51--52,11-3031,13500,16300
51--52,11-3051,1400,1300
51--52,11-3061,900,900
51--52,11-3071,1100,1100
51--52,11-3111,600,700
51--52,11-3121,4200,4700
51--52,11-3131,1300,1400
51--52,11-9000,18600,19400
51--52,11-9021,700,600
51--52,11-9030,100,100
51--52,11-9039,100,100
51--52,11-9041,3300,3200
51--52,11-9051,100,100
51--52,11-9111,100,100
51--52,11-9141,400,400
51--52,11-9199,13800,14600
51--52,13-0000,219900,241200
51--52,13-1000,169100,186400
51--52,13-1011,700,700
51--52,13-1020,6400,5800
51--52,13-1022,300,300
51--52,13-1023,6100,5400
51--52,13-1030,300,400
51--52,13-1031,300,300
51--52,13-1041,4800,5200
51--52,13-1051,700,700
51--52,13-1070,14600,15400
51--52,13-1071,14300,15100
51--52,13-1075,300,300
51--52,13-1081,3300,3500
51--52,13-1111,23300,26200
51--52,13-1121,3100,3200
51--52,13-1131,1000,1100
51--52,13-1141,2700,2900
51--52,13-1151,12800,13800
51--52,13-1161,49900,61500
51--52,13-1199,45400,46100
51--52,13-2000,50800,54700
51--52,13-2011,32600,35100
51--52,13-2021,100,100
51--52,13-2031,1900,1900
51--52,13-2041,1000,1000
51--52,13-2050,11300,12500
51--52,13-2051,11100,12300
51--52,13-2052,100,200
51--52,13-2061,200,200
51--52,13-2070,800,900
51--52,13-2072,600,700
51--52,13-2099,2900,3000
51--52,15-0000,564600,649200
51--52,15-1100,557800,639900
51--52,15-1111,2400,3200
51--52,15-1120,52800,59500
51--52,15-1121,45100,50300
51--52,15-1122,7700,9300
51--52,15-1130,281500,348400
51--52,15-1131,33700,31700
51--52,15-1132,164600,221000
51--52,15-1133,56600,63900
51--52,15-1134,26600,31800
51--52,15-1140,85700,84200
51--52,15-1141,15700,16700
51--52,15-1142,41200,40200
51--52,15-1143,28800,27300
51--52,15-1150,113700,120600
51--52,15-1151,72700,80800
51--52,15-1152,41000,39800
51--52,15-1199,21700,23900
51--52,15-2000,6800,9300
51--52,15-2031,5400,7300
51--52,15-2041,1300,2000
51--52,17-0000,40800,40400
51--52,17-1000,400,400
51--52,17-1020,200,200
51--52,17-1021,200,200
51--52,17-2000,34900,34800
51--52,17-2011,100,100
51--52,17-2051,500,500
51--52,17-2061,3300,3700
51--52,17-2070,28900,28200
51--52,17-2071,3100,3100
51--52,17-2072,25800,25100
51--52,17-2110,900,1100
51--52,17-2112,900,1000
51--52,17-2141,300,300
51--52,17-2199,900,900
51--52,17-3000,5500,5100
51--52,17-3010,1300,1100
51--52,17-3012,1200,1000
51--52,17-3020,3900,3700
51--52,17-3023,3500,3300
51--52,17-3026,100,100
51--52,17-3029,200,200
51--52,17-3031,200,200
51--52,19-0000,1700,1800
51--52,19-1000,100,100
51--52,19-2000,1000,1000
51--52,19-2021,800,800
51--52,19-2040,100,100
51--52,19-2042,100,100
51--52,19-3000,300,400
51--52,19-3011,100,100
51--52,19-3022,100,0
51--52,19-3090,100,200
51--52,19-3099,100,100
51--52,19-4000,300,300
51--52,19-4061,100,100
51--52,19-4090,200,200
51--52,19-4099,200,200
51--52,21-0000,300,400
51--52,21-1000,200,300
51--52,21-1012,100,100
51--52,21-2000,100,100
51--52,23-0000,8600,10900
51--52,23-1000,6400,8100
51--52,23-1010,6400,8100
51--52,23-1011,6400,8100
51--52,23-2000,2200,2700
51--52,23-2011,1400,1600
51--52,23-2090,900,1100
51--52,23-2091,300,300
51--52,23-2093,300,500
51--52,23-2099,300,300
51--52,25-0000,18000,22600
51--52,25-1000,100,100
51--52,25-1190,100,100
51--52,25-1194,100,100
51--52,25-3000,1000,1400
51--52,25-3011,300,300
51--52,25-3021,100,100
51--52,25-3099,700,900
51--52,25-4000,15000,19100
51--52,25-4010,1400,1900
51--52,25-4011,1100,1500
51--52,25-4012,200,300
51--52,25-4013,100,100
51--52,25-4021,7500,9400
51--52,25-4031,6100,7700
51--52,25-9000,1700,1900
51--52,25-9031,1400,1400
51--52,25-9041,100,100
51--52,25-9099,300,400
51--52,27-0000,450700,464700
51--52,27-1000,61700,65000
51--52,27-1010,26000,29700
51--52,27-1011,8500,9000
51--52,27-1012,300,400
51--52,27-1013,2000,2300
51--52,27-1014,14900,17700
51--52,27-1019,400,400
51--52,27-1020,35700,35300
51--52,27-1021,400,400
51--52,27-1022,2200,2600
51--52,27-1024,27000,25400
51--52,27-1027,4000,4700
51--52,27-1029,1300,1500
51--52,27-2000,101100,116200
51--52,27-2010,97100,111700
51--52,27-2011,21000,24800
51--52,27-2012,76100,86900
51--52,27-2030,200,200
51--52,27-2032,100,100
51--52,27-2040,1100,1200
51--52,27-2041,700,700
51--52,27-2042,500,500
51--52,27-2099,2700,3100
51--52,27-3000,175600,161700
51--52,27-3010,26900,21200
51--52,27-3011,26300,20700
51--52,27-3012,600,500
51--52,27-3020,43000,37600
51--52,27-3021,4800,4600
51--52,27-3022,38300,33000
51--52,27-3031,10400,10800
51--52,27-3040,84900,80400
51--52,27-3041,65800,60300
51--52,27-3042,6600,7100
51--52,27-3043,12600,13000
51--52,27-3090,10400,11700
51--52,27-3091,500,500
51--52,27-3099,9900,11200
51--52,27-4000,112300,121800
51--52,27-4010,54100,56100
51--52,27-4011,19300,22600
51--52,27-4012,25500,23900
51--52,27-4013,200,200
51--52,27-4014,9000,9500
51--52,27-4021,8600,8200
51--52,27-4030,40700,47200
51--52,27-4031,16100,17500
51--52,27-4032,24600,29700
51--52,27-4099,8900,10200
51--52,29-0000,2200,2400
51--52,29-1000,700,800
51--52,29-1141,500,600
51--52,29-2000,900,1100
51--52,29-2041,100,100
51--52,29-2071,700,800
51--52,29-9000,600,500
51--52,29-9010,500,500
51--52,29-9011,500,500
51--52,31-1014,100,200
51--52,33-0000,4800,4900
51--52,33-1000,200,200
51--52,33-1099,200,200
51--52,33-9000,4600,4700
51--52,33-9021,300,300
51--52,33-9030,4100,4200
51--52,33-9032,4100,4200
51--52,33-9090,200,200
51--52,33-9099,200,200
51--52,35-0000,51000,52600
51--52,35-1000,4200,4300
51--52,35-1011,100,100
51--52,35-1012,4100,4200
51--52,35-2000,2700,2900
51--52,35-2010,1800,1900
51--52,35-2012,200,300
51--52,35-2014,800,900
51--52,35-2015,600,600
51--52,35-2019,200,200
51--52,35-2021,900,900
51--52,35-3000,42700,44000
51--52,35-3011,1000,1000
51--52,35-3020,37900,39000
51--52,35-3021,7500,7700
51--52,35-3022,30400,31200
51--52,35-3031,1600,1700
51--52,35-3041,2200,2400
51--52,35-9000,1300,1400
51--52,35-9011,900,900
51--52,35-9021,400,400
51--52,35-9031,100,100
51--52,37-0000,7300,7900
51--52,37-1000,300,300
51--52,37-1011,200,300
51--52,37-2000,6700,7100
51--52,37-2010,6700,7100
51--52,37-2011,6600,7100
51--52,37-2012,100,100
51--52,37-3000,400,500
51--52,37-3011,400,500
51--52,39-0000,64700,66800
51--52,39-1000,7100,7400
51--52,39-1021,7100,7400
51--52,39-2000,200,300
51--52,39-2011,200,200
51--52,39-3000,52800,53900
51--52,39-3021,4900,4200
51--52,39-3031,44900,46200
51--52,39-3090,3000,3500
51--52,39-3091,1100,1200
51--52,39-3092,1700,2000
51--52,39-5000,4100,4800
51--52,39-5010,1600,1900
51--52,39-5012,1600,1900
51--52,39-5090,2500,2900
51--52,39-5091,2500,2900
51--52,39-6000,100,100
51--52,39-6012,100,100
51--52,39-9000,300,400
51--52,39-9011,100,100
51--52,39-9030,200,200
51--52,39-9031,100,100
51--52,39-9032,100,100
51--52,39-9099,100,100
51--52,41-0000,327000,321900
51--52,41-1000,26300,25800
51--52,41-1011,5000,5000
51--52,41-1012,21400,20800
51--52,41-2000,35000,33900
51--52,41-2010,21100,20000
51--52,41-2011,21100,20000
51--52,41-2020,300,300
51--52,41-2021,200,200
51--52,41-2031,13700,13600
51--52,41-3000,201100,196200
51--52,41-3011,70000,60700
51--52,41-3031,700,800
51--52,41-3099,130300,134600
51--52,41-4000,40000,43900
51--52,41-4011,23700,27600
51--52,41-4012,16300,16300
51--52,41-9000,24600,22100
51--52,41-9010,400,300
51--52,41-9011,400,300
51--52,41-9020,200,200
51--52,41-9022,100,100
51--52,41-9031,9000,9200
51--52,41-9041,9500,7500
51--52,41-9090,5600,4800
51--52,41-9091,3300,2500
51--52,41-9099,2300,2200
51--52,43-0000,466300,422400
51--52,43-1000,32900,31500
51--52,43-1011,32900,31500
51--52,43-2000,3400,2100
51--52,43-2011,1000,700
51--52,43-2021,2300,1300
51--52,43-2099,100,100
51--52,43-3000,45800,41800
51--52,43-3011,6600,5600
51--52,43-3021,8000,7700
51--52,43-3031,27400,24900
51--52,43-3051,2500,2300
51--52,43-3061,800,700
51--52,43-3071,100,100
51--52,43-3099,400,500
51--52,43-4000,190700,178500
51--52,43-4021,200,200
51--52,43-4041,800,700
51--52,43-4051,154400,141400
51--52,43-4071,3800,3300
51--52,43-4111,600,700
51--52,43-4121,8800,11200
51--52,43-4131,500,600
51--52,43-4151,9400,8900
51--52,43-4161,2800,2800
51--52,43-4171,6800,5900
51--52,43-4199,2500,2700
51--52,43-5000,38400,36400
51--52,43-5021,1200,1100
51--52,43-5030,5600,4500
51--52,43-5032,5500,4500
51--52,43-5061,19600,19700
51--52,43-5071,6300,5800
51--52,43-5081,5600,5100
51--52,43-5111,100,100
51--52,43-6000,47600,38800
51--52,43-6011,17800,14300
51--52,43-6012,300,300
51--52,43-6014,29300,24200
51--52,43-9000,107500,93200
51--52,43-9011,4500,3600
51--52,43-9020,16100,12400
51--52,43-9021,15000,11800
51--52,43-9022,1000,600
51--52,43-9031,5500,4200
51--52,43-9041,1200,1400
51--52,43-9051,10800,7500
51--52,43-9061,52500,48000
51--52,43-9071,6300,5800
51--52,43-9081,3900,3500
51--52,43-9111,700,800
51--52,43-9199,6000,6200
51--52,47-0000,10500,11600
51--52,47-1000,2000,2200
51--52,47-1011,2000,2200
51--52,47-2000,8200,9000
51--52,47-2031,2600,3100
51--52,47-2061,700,600
51--52,47-2070,800,700
51--52,47-2073,800,700
51--52,47-2111,2800,3100
51--52,47-2140,1000,1200
51--52,47-2141,1000,1200
51--52,47-4000,200,200
51--52,47-4090,200,200
51--52,47-4099,200,200
51--52,49-0000,255900,219700
51--52,49-1000,15600,13400
51--52,49-1011,15600,13400
51--52,49-2000,175900,150700
51--52,49-2011,700,700
51--52,49-2020,172300,147400
51--52,49-2021,5700,5800
51--52,49-2022,166500,141600
51--52,49-2090,2900,2600
51--52,49-2094,900,900
51--52,49-2095,100,100
51--52,49-2097,1600,1400
