54--55,00-0000,8876600,10055900
54--55,11-0000,789700,926100
54--55,11-1000,269400,310000
54--55,11-1011,26100,26000
54--55,11-1021,243300,284000
54--55,11-2000,108500,126200
54--55,11-2011,12300,13100
54--55,11-2020,85900,101700
54--55,11-2021,47800,56700
54--55,11-2022,38100,45000
54--55,11-2031,10300,11300
54--55,11-3000,253300,306500
54--55,11-3011,26700,31200
54--55,11-3021,116200,138800
54--55,11-3031,70500,89700
54--55,11-3051,5600,6400
54--55,11-3061,6100,7100
54--55,11-3071,3600,4300
54--55,11-3111,2000,2300
54--55,11-3121,17300,20200
54--55,11-3131,5300,6400
54--55,11-9000,158500,183500
54--55,11-9013,200,200
54--55,11-9021,11700,13500
54--55,11-9030,600,600
54--55,11-9033,200,200
54--55,11-9039,300,400
54--55,11-9041,63300,71800
54--55,11-9051,1100,1300
54--55,11-9111,5600,6600
54--55,11-9121,23200,27300
54--55,11-9141,2100,2500
54--55,11-9151,1000,1100
54--55,11-9161,600,700
54--55,11-9199,49200,57900
54--55,13-0000,1363600,1623000
54--55,13-1000,759400,935500
54--55,13-1011,200,300
54--55,13-1020,30600,31800
54--55,13-1021,100,200
54--55,13-1022,2600,2600
54--55,13-1023,27900,29000
54--55,13-1030,2900,3200
54--55,13-1031,2600,2800
54--55,13-1032,300,400
54--55,13-1041,26000,31100
54--55,13-1051,8700,10100
54--55,13-1070,69500,82900
54--55,13-1071,68800,82200
54--55,13-1075,700,700
54--55,13-1081,25000,30200
54--55,13-1111,244200,300200
54--55,13-1121,7000,8400
54--55,13-1131,1600,1800
54--55,13-1141,10900,13100
54--55,13-1151,39000,50300
54--55,13-1161,176400,232100
54--55,13-1199,117300,140000
54--55,13-2000,604200,687500
54--55,13-2011,454600,514100
54--55,13-2021,2900,3600
54--55,13-2031,6200,7300
54--55,13-2041,1600,1900
54--55,13-2050,47900,56600
54--55,13-2051,41100,48700
54--55,13-2052,6200,7200
54--55,13-2053,600,600
54--55,13-2061,1500,1800
54--55,13-2070,9600,12100
54--55,13-2071,5000,6700
54--55,13-2072,4600,5400
54--55,13-2080,71800,80300
54--55,13-2082,71800,80300
54--55,13-2099,8100,9700
54--55,15-0000,1517800,1869000
54--55,15-1100,1476600,1811400
54--55,15-1111,12100,16300
54--55,15-1120,261300,319400
54--55,15-1121,221100,261400
54--55,15-1122,40200,58000
54--55,15-1130,720200,904000
54--55,15-1131,133400,127700
54--55,15-1132,354900,500700
54--55,15-1133,184600,220100
54--55,15-1134,47200,55400
54--55,15-1140,194800,228700
54--55,15-1141,30900,36700
54--55,15-1142,106600,124400
54--55,15-1143,57200,67500
54--55,15-1150,223600,266000
54--55,15-1151,176700,210100
54--55,15-1152,47000,55900
54--55,15-1199,64700,77200
54--55,15-2000,41200,57600
54--55,15-2011,3900,5500
54--55,15-2021,900,1300
54--55,15-2031,24900,34700
54--55,15-2041,10500,14900
54--55,15-2090,1000,1200
54--55,15-2091,100,200
54--55,15-2099,800,1000
54--55,17-0000,930300,1057700
54--55,17-1000,140800,148300
54--55,17-1010,103200,105800
54--55,17-1011,89800,91900
54--55,17-1012,13400,13900
54--55,17-1020,37600,42500
54--55,17-1021,5000,6000
54--55,17-1022,32600,36500
