23--24,00-0000,6711000,7575700
23--24,11-0000,412700,472400
23--24,11-1000,162000,183900
23--24,11-1011,9800,9600
23--24,11-1021,152200,174300
23--24,11-2000,6900,7900
23--24,11-2011,100,100
23--24,11-2020,6600,7600
23--24,11-2021,2400,2800
23--24,11-2022,4200,4800
23--24,11-2031,200,200
23--24,11-3000,24000,28900
23--24,11-3011,5700,6500
23--24,11-3021,1100,1300
23--24,11-3031,12200,15300
23--24,11-3051,1000,1200
23--24,11-3061,1700,2000
23--24,11-3071,600,700
23--24,11-3111,100,100
23--24,11-3121,1200,1400
23--24,11-3131,200,300
23--24,11-9000,219900,251700
23--24,11-9021,203000,232700
23--24,11-9041,5000,5800
23--24,11-9141,5100,5500
23--24,11-9151,100,100
23--24,11-9199,6600,7600
23--24,13-0000,228800,259300
23--24,13-1000,190800,216000
23--24,13-1020,15600,16200
23--24,13-1021,100,100
23--24,13-1022,200,300
23--24,13-1023,15300,15800
23--24,13-1030,100,100
23--24,13-1031,100,100
23--24,13-1041,2100,2500
23--24,13-1051,132600,150400
23--24,13-1070,7800,8700
23--24,13-1071,7400,8400
23--24,13-1075,300,300
23--24,13-1081,900,1100
23--24,13-1111,1300,1500
23--24,13-1121,100,100
23--24,13-1131,100,200
23--24,13-1141,500,600
23--24,13-1151,1300,1500
23--24,13-1161,7100,8900
23--24,13-1199,21200,24300
23--24,13-2000,38000,43300
23--24,13-2011,35900,41000
23--24,13-2021,100,100
23--24,13-2031,300,300
23--24,13-2050,1000,1200
23--24,13-2051,1000,1100
23--24,13-2070,100,100
23--24,13-2072,100,100
23--24,13-2099,200,200
23--24,15-0000,15400,17200
23--24,15-1100,15300,17200
23--24,15-1120,1300,1500
23--24,15-1121,1100,1200
23--24,15-1122,200,300
23--24,15-1130,3000,3200
23--24,15-1131,1300,1200
23--24,15-1132,700,800
23--24,15-1133,800,900
23--24,15-1134,200,300
23--24,15-1140,5300,5900
23--24,15-1141,300,400
23--24,15-1142,3800,4300
23--24,15-1143,1100,1200
23--24,15-1150,4800,5500
23--24,15-1151,3400,3900
23--24,15-1152,1400,1600
23--24,15-1199,900,1000
23--24,17-0000,84600,97700
23--24,17-1000,7300,8400
23--24,17-1010,3700,4100
23--24,17-1011,3200,3700
23--24,17-1012,400,500
23--24,17-1020,3700,4300
23--24,17-1022,3600,4300
23--24,17-2000,50900,58800
23--24,17-2041,200,200
23--24,17-2051,31300,36000
23--24,17-2061,100,100
23--24,17-2070,6200,7200
