31--34,00-0000,12348100,11611700
31--34,11-0000,701600,681200
31--34,11-1000,241500,230700
31--34,11-1011,22500,18600
31--34,11-1021,219000,212100
31--34,11-2000,71900,69400
31--34,11-2011,800,800
31--34,11-2020,69900,67400
31--34,11-2021,25400,24200
31--34,11-2022,44500,43200
31--34,11-2031,1200,1200
31--34,11-3000,277900,273700
31--34,11-3011,17400,16800
31--34,11-3021,29900,28200
31--34,11-3031,41200,43900
31--34,11-3051,135500,132200
31--34,11-3061,20800,20300
31--34,11-3071,13100,12800
31--34,11-3111,1100,1000
31--34,11-3121,17000,16600
31--34,11-3131,1900,1800
31--34,11-9000,110200,107400
31--34,11-9013,300,300
31--34,11-9021,2000,2000
31--34,11-9041,65300,63400
31--34,11-9051,300,400
31--34,11-9111,700,700
31--34,11-9121,6400,6300
31--34,11-9141,300,300
31--34,11-9161,100,100
31--34,11-9199,34600,33900
31--34,13-0000,475700,456200
31--34,13-1000,364800,348900
31--34,13-1020,100100,88100
31--34,13-1021,2000,1800
31--34,13-1022,4000,3500
31--34,13-1023,94100,82800
31--34,13-1041,12500,12300
31--34,13-1051,27100,26600
31--34,13-1070,43700,41400
31--34,13-1071,42700,40500
31--34,13-1075,1000,900
31--34,13-1081,36600,36000
31--34,13-1111,22400,21800
31--34,13-1121,2000,2000
31--34,13-1141,4200,3800
31--34,13-1151,19000,18500
31--34,13-1161,40500,42700
31--34,13-1199,56700,55600
31--34,13-2000,110800,107300
31--34,13-2011,83300,80600
31--34,13-2031,4200,4100
31--34,13-2041,1900,1800
31--34,13-2050,16500,15900
31--34,13-2051,16500,15800
31--34,13-2099,4800,4800
31--34,15-0000,288800,273900
31--34,15-1100,277300,261100
31--34,15-1111,1200,1100
31--34,15-1120,37200,34100
31--34,15-1121,33400,30500
31--34,15-1122,3700,3600
31--34,15-1130,150100,142800
31--34,15-1131,16100,12300
31--34,15-1132,55900,58000
31--34,15-1133,74400,69100
31--34,15-1134,3700,3400
31--34,15-1140,38300,35100
31--34,15-1141,4300,4100
31--34,15-1142,26300,24100
31--34,15-1143,7700,6900
31--34,15-1150,39000,36700
31--34,15-1151,30200,28500
31--34,15-1152,8700,8200
31--34,15-1199,11600,11300
31--34,15-2000,11500,12700
31--34,15-2021,100,100
31--34,15-2031,10100,11100
31--34,15-2041,1200,1400
31--34,17-0000,795400,800200
31--34,17-1000,600,600
31--34,17-1010,400,400
31--34,17-1011,400,400
31--34,17-1020,200,200
31--34,17-1022,200,200
31--34,17-2000,578400,589200
31--34,17-2011,34400,34600
31--34,17-2021,300,300
31--34,17-2031,9200,9400
31--34,17-2041,17600,18000
31--34,17-2051,4000,4000
31--34,17-2061,27400,24800
31--34,17-2070,102400,100100
31--34,17-2071,61300,59900
31--34,17-2072,41100,40100
31--34,17-2081,2900,2800
31--34,17-2110,188100,201400
31--34,17-2111,6400,6200
31--34,17-2112,181800,195200
31--34,17-2121,1300,1300
31--34,17-2131,16400,15800
31--34,17-2141,138100,141400
31--34,17-2151,100,100
31--34,17-2161,900,900
31--34,17-2171,3500,3500
31--34,17-2199,31700,31100
31--34,17-3000,216400,210300
31--34,17-3010,51200,50700
31--34,17-3011,5500,5500
31--34,17-3012,6700,6500
31--34,17-3013,34700,34400
31--34,17-3019,4300,4300
31--34,17-3020,165000,159400
31--34,17-3021,5700,5600
31--34,17-3022,200,200
31--34,17-3023,55500,52000
31--34,17-3024,7300,7100
31--34,17-3025,900,900
31--34,17-3026,51200,50200
31--34,17-3027,23600,23300
31--34,17-3029,20600,20100
31--34,17-3031,200,200
31--34,19-0000,119100,117700
31--34,19-1000,27300,26900
31--34,19-1010,7600,7600
31--34,19-1011,200,200
31--34,19-1012,7100,7200
31--34,19-1013,300,200
31--34,19-1020,12000,11800
31--34,19-1021,5900,5700
31--34,19-1022,4800,4700
31--34,19-1029,1300,1300
31--34,19-1030,900,900
31--34,19-1032,900,900
31--34,19-1040,6000,5900
31--34,19-1041,100,100
31--34,19-1042,5900,5800
31--34,19-1099,700,700
31--34,19-2000,42500,43300
31--34,19-2010,600,600
31--34,19-2012,600,600
31--34,19-2030,39100,40000
31--34,19-2031,36200,37100
31--34,19-2032,3000,2900
31--34,19-2040,2100,2100
31--34,19-2041,1900,1900
31--34,19-2042,200,200
31--34,19-2099,600,600
31--34,19-3000,200,200
31--34,19-3011,100,100
31--34,19-3090,100,100
31--34,19-3099,100,100
31--34,19-4000,49000,47300
31--34,19-4011,7000,6900
31--34,19-4021,6700,6600
31--34,19-4031,29400,27900
31--34,19-4041,400,400
31--34,19-4051,500,500
31--34,19-4090,5100,5000
31--34,19-4091,600,600
31--34,19-4099,4500,4400
31--34,21-0000,300,300
31--34,21-1000,100,100
31--34,21-1090,100,100
31--34,21-1091,100,100
31--34,21-2000,100,100
31--34,21-2011,100,100
31--34,23-0000,6500,7000
31--34,23-1000,4900,5400
31--34,23-1010,4900,5400
31--34,23-1011,4900,5400
31--34,23-2000,1500,1600
31--34,23-2011,1300,1400
31--34,23-2090,200,200
31--34,23-2099,200,200
31--34,25-0000,700,700
31--34,25-3000,300,200
31--34,25-3021,100,100
31--34,25-3099,100,100
31--34,25-4000,200,200
31--34,25-4021,200,200
31--34,25-9000,100,100
31--34,25-9031,100,100
31--34,27-0000,82900,77200
31--34,27-1000,67400,62400
31--34,27-1010,4300,3900
31--34,27-1011,1300,1200
31--34,27-1012,1200,1100
31--34,27-1013,1100,1100
31--34,27-1014,600,500
31--34,27-1019,100,100
31--34,27-1020,63200,58500
31--34,27-1021,12400,12200
31--34,27-1022,3200,2200
31--34,27-1023,100,100
31--34,27-1024,39800,36000
31--34,27-1025,1000,1000
31--34,27-1026,5900,6200
31--34,27-1027,100,100
31--34,27-1029,700,700
31--34,27-2000,200,200
31--34,27-2010,200,200
31--34,27-2012,200,200
31--34,27-3000,14100,13500
31--34,27-3031,4300,4200
31--34,27-3040,9000,8700
31--34,27-3041,900,800
31--34,27-3042,7700,7400
31--34,27-3043,500,500
31--34,27-3090,700,700
31--34,27-3091,300,300
31--34,27-3099,400,400
31--34,27-4000,1200,1100
31--34,27-4011,400,400
31--34,27-4014,100,100
31--34,27-4021,300,300
31--34,27-4030,300,200
31--34,27-4032,200,200
31--34,29-0000,24800,24900
31--34,29-1000,3400,3400
31--34,29-1031,100,100
31--34,29-1051,500,500
31--34,29-1060,200,200
31--34,29-1069,200,200
31--34,29-1131,100,100
31--34,29-1141,2200,2200
31--34,29-1171,100,100
31--34,29-1181,100,0
31--34,29-2000,5500,6200
31--34,29-2010,700,700
31--34,29-2011,300,300
31--34,29-2012,300,300
31--34,29-2030,100,100
31--34,29-2041,200,200
31--34,29-2050,900,800
31--34,29-2052,700,700
31--34,29-2056,100,100
31--34,29-2061,400,400
31--34,29-2071,100,100
31--34,29-2081,200,200
31--34,29-2091,2900,3600
31--34,29-2099,100,100
31--34,29-9000,15800,15300
31--34,29-9010,15700,15200
31--34,29-9011,12900,12600
31--34,29-9012,2700,2600
31--34,29-9090,100,100
31--34,29-9099,100,100
31--34,31-0000,1000,1000
31--34,31-9000,1000,1000
31--34,31-9092,100,100
31--34,31-9093,100,100
31--34,31-9096,200,200
31--34,31-9097,100,100
31--34,31-9099,500,500
31--34,33-0000,14500,13600
31--34,33-1000,1000,900
31--34,33-1021,100,100
31--34,33-1099,800,800
31--34,33-2000,900,900
31--34,33-2011,700,700
31--34,33-2020,300,300
31--34,33-2021,200,200
31--34,33-9000,12600,11800
31--34,33-9030,11600,10700
31--34,33-9032,11600,10700
31--34,33-9090,400,400
31--34,33-9099,400,400
31--34,35-0000,57300,58700
31--34,35-1000,4900,5000
31--34,35-1011,1200,1200
31--34,35-1012,3700,3800
31--34,35-2000,16400,16800
31--34,35-2010,3900,4000
31--34,35-2011,100,100
31--34,35-2012,400,400
31--34,35-2014,2100,2200
31--34,35-2015,700,700
31--34,35-2019,600,600
31--34,35-2021,12500,12800
31--34,35-3000,31300,32200
31--34,35-3011,4800,5100
31--34,35-3020,18600,18700
31--34,35-3021,7300,7400
31--34,35-3022,11300,11300
31--34,35-3031,7700,8100
31--34,35-3041,200,200
31--34,35-9000,4700,4700
31--34,35-9011,900,900
31--34,35-9021,2900,2900
31--34,35-9031,500,500
31--34,35-9099,400,400
31--34,37-0000,66300,65200
31--34,37-1000,1600,1600
31--34,37-1011,1500,1500
31--34,37-1012,100,100
31--34,37-2000,62200,61100
31--34,37-2010,62000,60900
31--34,37-2011,61400,60300
31--34,37-2012,500,500
31--34,37-2019,100,100
31--34,37-2021,200,200
31--34,37-3000,2500,2500
31--34,37-3011,2400,2400
31--34,37-3012,100,100
31--34,37-3019,100,100
31--34,39-0000,2300,2300
31--34,39-1000,100,100
31--34,39-1021,100,100
31--34,39-2000,100,100
31--34,39-7000,1000,1100
31--34,39-7011,1000,1100
31--34,39-9000,400,400
31--34,39-9011,100,100
31--34,39-9030,100,100
31--34,39-9031,100,100
31--34,39-9099,100,100
31--34,41-0000,393700,380200
31--34,41-1000,20200,19700
31--34,41-1011,4800,4800
31--34,41-1012,15400,15000
31--34,41-2000,64200,61700
31--34,41-2010,22300,20500
31--34,41-2011,22200,20500
31--34,41-2020,2200,2100
31--34,41-2021,1300,1200
31--34,41-2022,900,900
31--34,41-2031,39700,39100
31--34,41-3000,14000,12800
31--34,41-3011,700,700
31--34,41-3099,13200,12100
31--34,41-4000,269200,260100
31--34,41-4011,41800,40000
31--34,41-4012,227400,220100
31--34,41-9000,26200,25800
31--34,41-9010,8600,9000
31--34,41-9011,8600,9000
31--34,41-9031,14300,13700
31--34,41-9041,700,500
31--34,41-9090,2600,2500
31--34,41-9099,2600,2500
31--34,43-0000,1123700,1017100
31--34,43-1000,60900,58900
31--34,43-1011,60900,58900
31--34,43-2000,1000,600
31--34,43-2011,900,600
31--34,43-3000,145500,128200
31--34,43-3011,4100,3600
31--34,43-3021,15200,14700
31--34,43-3031,101600,88500
31--34,43-3051,12700,11100
31--34,43-3061,11600,10100
31--34,43-3099,200,200
31--34,43-4000,204300,187600
31--34,43-4021,100,100
31--34,43-4041,800,700
31--34,43-4051,145200,136100
31--34,43-4071,2500,2000
31--34,43-4111,300,300
31--34,43-4121,100,100
31--34,43-4151,22600,19600
31--34,43-4161,10600,9300
31--34,43-4171,21000,18300
